"Row.Id","ID","Mating","RIX_ID","Cohort","Sex","Virus","Date_Infected","Timepoint","D0","D7","D7pct","is.baric","uniqueid","dam","sire","ccdam","ccsire","ccrix"
2441,"13067x16912_0036","13067x16912",36,"8_13viii",FALSE,"flu","2013-08-19",15,20.65,19.9,96.3680387409201,0,"13067x16912_36_8_13viii",13067,16912,"CC003","CC051","CC003xCC051"
2442,"13067x16912_0037","13067x16912",37,"8_13viii",FALSE,"flu","2013-08-19",15,24.15,23.45,97.1014492753623,0,"13067x16912_37_8_13viii",13067,16912,"CC003","CC051","CC003xCC051"
304,"13067x16912_0100","13067x16912",100,"10_13x",FALSE,"flu","2013-10-14",7,20.1,18.9,94.0298507462686,0,"13067x16912_100_10_13x",13067,16912,"CC003","CC051","CC003xCC051"
305,"13067x16912_0101","13067x16912",101,"10_13x",FALSE,"flu","2013-10-14",7,19.1,18.95,99.2146596858639,0,"13067x16912_101_10_13x",13067,16912,"CC003","CC051","CC003xCC051"
306,"13067x16912_0109","13067x16912",109,"10_13x",FALSE,"flu","2013-10-14",7,23.3,21.9,93.9914163090129,0,"13067x16912_109_10_13x",13067,16912,"CC003","CC051","CC003xCC051"
613,"13067x16912_0136","13067x16912",136,"11_13xi",FALSE,"flu","2013-11-11",45,21.1,21.25,100.710900473934,0,"13067x16912_136_11_13xi",13067,16912,"CC003","CC051","CC003xCC051"
614,"13067x16912_0137","13067x16912",137,"11_13xi",FALSE,"flu","2013-11-11",45,19.2,19.1,99.4791666666667,0,"13067x16912_137_11_13xi",13067,16912,"CC003","CC051","CC003xCC051"
615,"13067x16912_0138","13067x16912",138,"11_13xi",FALSE,"flu","2013-11-11",45,21.9,18.55,84.703196347032,0,"13067x16912_138_11_13xi",13067,16912,"CC003","CC051","CC003xCC051"
616,"13067x16912_0139","13067x16912",139,"11_13xi",FALSE,"flu","2013-11-11",45,21.4,16.35,76.4018691588785,0,"13067x16912_139_11_13xi",13067,16912,"CC003","CC051","CC003xCC051"
70,"13067x16912_0162","13067x16912",162,"1_14i",FALSE,"flu","2014-01-20",10,23.7,24.98,105.400843881857,0,"13067x16912_162_1_14i",13067,16912,"CC003","CC051","CC003xCC051"
71,"13067x16912_0163","13067x16912",163,"1_14i",FALSE,"flu","2014-01-20",10,22.6,22.8,100.884955752212,0,"13067x16912_163_1_14i",13067,16912,"CC003","CC051","CC003xCC051"
72,"13067x16912_0164","13067x16912",164,"1_14i",FALSE,"flu","2014-01-20",10,23.9,23.7,99.163179916318,0,"13067x16912_164_1_14i",13067,16912,"CC003","CC051","CC003xCC051"
4051,"13067x5306_0005","13067x5306",5,"1_15i",FALSE,"flu","2015-01-05",29,21.2,20.5,96.6981132075472,1,"13067x5306_5_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
4052,"13067x5306_0010","13067x5306",10,"1_15i",FALSE,"flu","2015-01-05",29,22.5,21.8,96.8888888888889,1,"13067x5306_10_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
4053,"13067x5306_0020","13067x5306",20,"1_15i",FALSE,"flu","2015-01-05",29,22.5,21.7,96.4444444444444,1,"13067x5306_20_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
177,"13067x5306_0024","13067x5306",24,"1_15i",FALSE,"flu","2015-01-19",15,26,26.3,101.153846153846,0,"13067x5306_24_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
178,"13067x5306_0029","13067x5306",29,"1_15i",FALSE,"flu","2015-01-19",15,23.3,22.1,94.8497854077253,0,"13067x5306_29_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
179,"13067x5306_0034","13067x5306",34,"1_15i",FALSE,"flu","2015-01-19",15,21.6,20.3,93.9814814814815,0,"13067x5306_34_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
180,"13067x5306_0035","13067x5306",35,"1_15i",FALSE,"flu","2015-01-19",15,22.2,21.7,97.7477477477478,0,"13067x5306_35_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
197,"13067x5306_0044","13067x5306",44,"1_15i",FALSE,"flu","2015-01-19",7,21.2,19.7,92.9245283018868,0,"13067x5306_44_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
198,"13067x5306_0053","13067x5306",53,"1_15i",FALSE,"flu","2015-01-19",7,19.6,18.1,92.3469387755102,0,"13067x5306_53_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
199,"13067x5306_0062","13067x5306",62,"1_15i",FALSE,"flu","2015-01-19",7,20.2,20.3,100.495049504951,0,"13067x5306_62_1_15i",13067,5306,"CC003","CC062","CC003xCC062"
