"ID","Block","dam","sire","Strain","ID.1","Sex","Day","Trt","D0","D1","D2","D3","D4","Notes"
"AA_F385","12","A","A","AA",385,"F","D4","FLU",20.85,20,20.3,18.4,16.9,NA
"AA_F386","12","A","A","AA",386,"F","D4","MOCK",21.5,21,20.9,21.5,21.15,NA
"AA_F393","12","A","A","AA",393,"F","D4","FLU",19.3,19.05,19.4,17.35,15.7,NA
"AA_F507","25","A","A","AA",507,"F","D2","FLU",21.7,22,21.45,NA,NA,NA
"AA_F509","25","A","A","AA",509,"F","D2","MOCK",18.4,18.25,18.3,NA,NA,NA
"AA_F510","25","A","A","AA",510,"F","D2","FLU",16.7,16.6,16.7,NA,NA,NA
"AA_F516","25","A","A","AA",516,"F","D2","FLU",16.3,16.6,16.25,NA,NA,NA
"AA_M358","8","A","A","AA",358,"M","D2","FLU",21.3,21.1,21.5,NA,NA,NA
"AA_M359","8","A","A","AA",359,"M","D2","MOCK",20.45,20.3,20.3,NA,NA,NA
"AA_M361","8","A","A","AA",361,"M","D2","FLU",21.9,21.85,22.5,NA,NA,NA
"AA_M371","8","A","A","AA",371,"M","D2","FLU",24,23.2,23.2,NA,NA,NA
"AA_M486","23","A","A","AA",486,"M","D4","MOCK",24,24,24.35,24.45,23.7,NA
"AA_M494","23","A","A","AA",494,"M","D4","FLU",23.9,22.75,23.3,19.85,18,NA
"AA_M874","56","A","A","AA",874,"M","D4","MOCK",20.8,20.2,20.6,20.25,19.75,NA
"AA_M876","56","A","A","AA",876,"M","D4","FLU",22.7,22.2,22.7,20.65,18.95,NA
"AA_M877","56","A","A","AA",877,"M","D4","FLU",21.7,21.55,21.25,20.85,20.35,NA
"AA_M883","56","A","A","AA",883,"M","D4","FLU",22.65,22.25,23,22.4,21.8,NA
"AB_F132","15","A","B","AB",132,"F","D4","MOCK",21.05,20.95,21.1,21.15,21.5,NA
"AB_F138","15","A","B","AB",138,"F","D4","FLU",22.8,23.05,21.95,20.75,19.4,NA
"AB_F142","15","A","B","AB",142,"F","D4","FLU",23.35,23.65,22.4,21.3,19.75,NA
"AB_F152","15","A","B","AB",152,"F","D4","FLU",20.3,20.45,19.75,19.1,18.25,NA
"AB_F262","64","A","B","AB",262,"F","D4","FLU",18,18.5,19.05,16.7,15.3,NA
"AB_F263","64","A","B","AB",263,"F","D4","FLU",17.65,18.4,17.75,16,14.65,NA
"AB_F264","64","A","B","AB",264,"F","D4","FLU",17.55,17.6,19,16.85,15.3,NA
"AB_F267","64","A","B","AB",267,"F","D4","MOCK",18.6,19.2,20.05,19.15,19.3,NA
"AB_F81","12","A","B","AB",81,"F","D2","MOCK",19.35,18.45,18.5,NA,NA,NA
"AB_F83","12","A","B","AB",83,"F","D2","FLU",19.5,20.6,19.95,NA,NA,NA
"AB_F86","12","A","B","AB",86,"F","D2","FLU",20.6,19.3,18.8,NA,NA,NA
"AB_F91","12","A","B","AB",91,"F","D2","FLU",25.15,24.45,23.75,NA,NA,NA
"AB_M119","14","A","B","AB",119,"M","D4","FLU",27.75,27.5,27.25,25.4,23.45,NA
"AB_M121","14","A","B","AB",121,"M","D4","MOCK",27.4,27.4,27.3,27.75,27.5,NA
"AB_M136","15","A","B","AB",136,"M","D2","FLU",32.2,32.15,32.08,NA,NA,NA
"AB_M137","15","A","B","AB",137,"M","D2","FLU",31.65,32.15,32,NA,NA,NA
"AB_M150","15","A","B","AB",150,"M","D2","FLU",28.6,28.65,28.3,NA,NA,NA
"AB_M151","15","A","B","AB",151,"M","D2","MOCK",22.85,22.75,22.65,NA,NA,"unusually smallD0 weight for group"
"AB_M258","64","A","B","AB",258,"M","D2","FLU",22.8,23.25,23.15,NA,NA,NA
"AB_M259","64","A","B","AB",259,"M","D2","MOCK",24.4,24.4,24.4,NA,NA,NA
"AB_M261","64","A","B","AB",261,"M","D2","FLU",21.6,22.05,21.95,NA,NA,NA
"AB_M265","64","A","B","AB",265,"M","D2","FLU",24.7,25.05,24.8,NA,NA,NA
"AB_M92","14","A","B","AB",92,"M","D4","FLU",24.8,24.2,23.7,22.25,20.8,NA
"AB_M94","14","A","B","AB",94,"M","D4","FLU",27.6,27.3,26.7,25,22.9,NA
"AC_F101","56","A","C","AC",101,"F","D4","FLU",19.6,19,18.25,16.7,15.45,NA
"AC_F102","56","A","C","AC",102,"F","D2","MOCK",20,19.3,19.75,NA,NA,NA
"AC_F75","56","A","C","AC",75,"F","D2","FLU",20.75,20.05,19.45,NA,NA,NA
"AC_F76","56","A","C","AC",76,"F","D4","FLU",22.7,22.1,21.5,19.3,17.95,NA
"AC_F77","56","A","C","AC",77,"F","D4","MOCK",20.05,19.7,20.3,20.45,20.3,NA
"AC_F82","56","A","C","AC",82,"F","D2","FLU",22.45,21.65,20.6,NA,NA,NA
"AC_F83","56","A","C","AC",83,"F","D2","FLU",22.05,21.5,21.05,NA,NA,NA
"AC_F99","56","A","C","AC",99,"F","D4","FLU",19.1,19,18.7,16.55,15.45,NA
"AC_M11","43","A","C","AC",11,"M","D2","FLU",26.1,26.4,24.9,NA,NA,NA
"AC_M12","43","A","C","AC",12,"M","D2","FLU",26.75,27.25,25.4,NA,NA,NA
"AC_M171","84","A","C","AC",171,"M","D4","FLU",27.7,28.2,27.55,26.15,24.25,NA
"AC_M172","84","A","C","AC",172,"M","D4","FLU",30.15,30.6,29.95,28.75,26.7,NA
"AC_M173","84","A","C","AC",173,"M","D4","MOCK",28.1,28,27.65,28,27.7,NA
"AC_M177","84","A","C","AC",177,"M","D4","FLU",27.85,28.1,27.7,26.35,24,NA
"AC_M2","43","A","C","AC",2,"M","D2","MOCK",31.2,30.7,30.65,NA,NA,NA
"AC_M5","43","A","C","AC",5,"M","D2","FLU",29.15,30.35,27.75,NA,NA,NA
"AD_F22","51","A","D","AD",22,"F","D2","FLU",22.05,22.9,22.25,NA,NA,NA
"AD_F23","51","A","D","AD",23,"F","D2","FLU",19.2,20.05,19.5,NA,NA,NA
"AD_F25","51","A","D","AD",25,"F","D2","FLU",18.8,18.8,18.6,NA,NA,NA
"AD_F26","51","A","D","AD",26,"F","D2","MOCK",19.8,20.1,19.05,NA,NA,NA
"AD_F51","57","A","D","AD",51,"F","D2","MOCK",22.75,22.6,22.15,NA,NA,NA
"AD_F52","57","A","D","AD",52,"F","D2","FLU",22.9,23.05,22.2,NA,NA,NA
"AD_F53","57","A","D","AD",53,"F","D2","FLU",20.75,20.8,20.65,NA,NA,NA
"AD_F56","57","A","D","AD",56,"F","D2","FLU",18.7,18.9,18.3,NA,NA,NA
"AD_F57","57","A","D","AD",57,"F","D4","FLU",18.9,18.85,19,17.2,16.1,NA
"AD_F58","57","A","D","AD",58,"F","D4","FLU",20,20.1,20.25,18.05,17.15,NA
